C0027947	Neutropenia
C0011124	Decreased Libido
C0085166	bacterial vaginitis
C0227791	vaginal discharge
C0917801	insomnia
C0014009	empyema
C0038220	status epilepticus
C0013473	eating disorder
C0152021	congenital heart disease
C0043352	aptyalism
C0009319	colitis
C0001818	agoraphobia
C0238154	epidural hematoma
C0009952	febrile convulsion
C0029456	osteoporosis
C0456909	blindness
C0005687	distended bladder
C0017181	gastrointestinal bleed
C0521620	hydroureter
C0016053	fibromyalgia
C0041657	loss of consciousness
C0016663	Bone Fracture Spontaneous
C0018818	ventricular septal defect
C1321523	wandering atrial pacemaker
C0024586	carcinoid syndrome
C0037998	Splenic infarction
C0262497	global amnesia
C0032227	Pleural Effusion
C0334192	Endometrial Atrophy
C0022679	renal cyst
C0030193	Pain
C0038353	gastric dilatation
C0014583	episcleritis
C0003868	gouty arthritis
C0152149	ovulation pain
C0262578	night cramps
C0020651	Hypotension Orthostatic
C0019825	Hoarseness
C0151908	dry skin
C0002694	traumatic amputation
C0011616	contact dermatitis
C0020433	Bilirubinaemia
C0151517	Atrioventricular block complete
C0029463	bone sarcoma
C0029925	Ovarian cancer
C0014860	esophageal perforation
C0022951	lactose intolerance
C0009410	colostomy
C0012813	diverticulitis
C0242379	lung neoplasm malignant
C0023885	liver abscess
C0281774	acute psychosis
C0029134	OPTIC NEURITIS
C0005967	bone neoplasm
C0151465	renal abscess
C0878544	Cardiomyopathy
C0043145	Whiplash Injury
C0018924	haemarthrosis
C0017536	giardiasis
C0020443	elevated cholesterol
C0019048	hemoglobinuria
C0156221	acute glomerulonephritis
C1510475	diverticulosis
C0034186	pyelonephritis
C0003044	animal bite
C0006145	Breast disorder
C0007780	cerebral artery embolism
C0152030	Irritation Skin
C0006107	brain concussion
C0031111	periostitis
C0149514	acute bronchitis
C1456784	paranoia
C0013604	edema
C0004030	aspergillosis
C0221773	hyperamylasaemia
C0242453	prostatism
C0024115	Disorder Lung
C0027819	neuroblastoma
C0014866	esophageal stenosis
C0162298	joint stiffness
C0282488	Cystitis Interstitial
C0005779	Clotting
C0269199	cervical stenosis
C0035410	rhabdomyolysis
C0149512	acute sinusitis
C0342579	Electrolyte disorder
C0231807	Dyspnea exertional
C0008031	chest pain
C0026821	cramp
C0595939	still birth
C0016382	facial flushing
C0002064	respiratory alkalosis
C0027531	injury of neck
C0031036	periarteritis nodosa
C0032739	tuberculin test positive
C1282799	Penile swelling
C0030756	Lice Infestation
C0006852	candidiasis of vagina
C0020541	portal hypertension
C0235328	colonic obstruction
C0024205	adenitis
C0019557	hip fracture
C0029400	bone inflammation
C0000889	acanthosis nigricans
C0003537	aphasia
C0038000	rupture of spleen
C0156369	Uterine polyp
C0029429	osteochondrosis
C0014935	estrogen replacement
C0151786	muscle weakness
C0014553	petit mal
C0085614	Atrioventricular block first degree
C0034150	peliosis
C0006840	Candida Infection
C0007860	cervicitis
C0003467	Anxiety
C0007095	carcinoid tumour
C0002418	amblyopia
C0028084	nightmare
C0476427	abnormal cervical smear
C0014488	epicondylitis
C0017675	Glossitis
C0234925	Oily Skin
C0036572	convulsion
C0007789	cerebral palsy
C0205929	Anal fistula
C0042373	angiopathy
C0011649	dermoid cyst
C0010692	Bladder inflammation
C0026896	myasthenia gravis
C0008033	pleural pain
C0018081	gonorrhea
C0016479	food poisoning
C0013537	eclampsia
C0341163	Gastric ulcer perforated
C0149925	SCLC
C0021832	parasitic infection intestinal
C0003611	appendectomy
C0152029	nasal sinus congestion
C0497247	arterial pressure NOS increased
C0023211	bundle branch block left
C0034072	Cor pulmonale
C0040435	tooth disease
C0007758	cerebellar ataxia
C0020598	Blood calcium decreased
C0017638	glioma
C0549473	thyroid cancer
C0040822	tremor
C0035412	rhabdomyosarcoma
C0231218	Feeling unwell
C0023798	lipoma
C0019348	herpes simplex
C0022548	Keloid scar
C0262431	Spinal Compression Fracture
C1322281	Rhinitis Seasonal
C0155707	trifascicular block
C0848558	hypospadias
C0025287	meningeal irritation
C0020295	hydronephrosis
C0031046	pericarditis
C0014335	enteritis
C0426636	defaecation urgency
C0019360	herpes zoster
C0274435	Transfusion reaction
C0037995	splenectomy
C0085679	hyperchloremia
C0149725	Chest infection
C0010043	corneal ulcer
C0035220	neonatal respiratory distress syndrome
C0085583	choreoathetosis
C0022658	disorder Renal
C0027813	Neuritis
C0018021	goiter
C0344232	blurred vision
C1269683	major depression
C0002962	angina
C0016199	flank pain
C0020252	hydrocele
C0025290	Aseptic meningitis
C0010702	CYSTO
C0019151	hepatic encephalopathy
C0574960	sacroiliitis
C0162423	heat rash
C0155118	corneal degeneration
C0151970	esophageal ulcer
C0152025	polyneuropathy
C0019196	Hepatitis C
C0013362	dysarthria
C0020040	hot flash
C0017168	acid reflux
C0040028	Essential Thrombocythemia
C0259756	Herxheimer reaction
C0020162	humerus fracture
C0032617	polyuria
C0028259	nodule
C0085680	hypochloraemia
C0020440	Hypercapnia
C0013274	patent ductus arteriosis
C0011880	diabetic acidosis
C0086692	Benign Neoplasm
C0025362	mental retardation
C1527383	Morphea
C0036689	Pharyngitis Streptococcal
C0014089	encopresis
C0085631	agitated
C0162529	colitis ischemic
C0042109	hive
C0014121	bacterial endocarditis
C0024523	malabsorption
C0398353	Hypoventilation
C1261470	meningocele
C0235267	eye redness
C0263912	rotator cuff syndrome
C0242184	hypoxia
C0038131	dysphemia
C0026393	molluscum contagiosum
C0008497	choriocarcinoma
C0011860	Mod
C0020624	hypomenorrhea
C0012569	Diplopia
C0027709	nephrocalcinosis
C0004623	Bacterial infection
C0239739	gingival pain
C0549567	pigmentation disorder
C0553730	chondrocalcinosis pyrophosphate
C0013146	abuse
C0023241	Legionella
C0003864	arthritis
C0021092	cerumen impaction
C0221706	road traffic accident
C0034951	refraction disorder
C0021359	infertility
C0262627	Seroma
